Task ID,Route Name,Vehicle ID,Date,Due Date,Arrive Time,Operation,Task Template,Task Status,Planned/Adhoc,Zone,Service Point,Asset Types,Completed Asset Types,Asset Collects
360-24140652,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:41:21 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1203,"1100L, 240L",1100L,1
360-24140892,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:39:02 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1731,"1100L, 240L",1100L,1
360-24140749,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:23:06 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4193,"1100L, 240L",1100L,1
360-24141622,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:16:27 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-1899,"1100L, 240L",1100L,1
360-24141763,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:13:15 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-3712,"1100L, 240L",1100L,1
360-24141766,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:11:44 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0708,"1100L, 240L",1100L,1
360-24141752,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:08:40 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0947,"1100L, 240L",1100L,1
360-24141351,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,9:03:38 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-4554,"1100L, 240L",240L,1
360-24141007,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:59:31 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0908,"1100L, 240L",1100L,1
360-24141000,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:58:42 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0907,"1100L, 240L",1100L,1
360-24141014,Zone 2 B (Day) - V 2.0,REL 7,10/1/2026,10/1/2026,8:57:19 am,Waste Collection,CIT Waste Collection,Done,Planned,Albada  Zone-2,Z2-BDB-0909,"1100L, 240L",1100L,1
